name,email,phone,address,city,county,state,zip,category,found_date
1. EASY ALL REPAIR,kahlonformation@gmail.com,(973) 234-9273,"99 Congress Street - City: Jersey City - State: NJ - ZIP: 07307 **2. FORERUNNER HOME IMPROVEMENT** - Phone: (551) 318-8541 - Email: ForerunnerHI.LLC@gmail.com - Street Address: 17 Charles Street, #1 -",Jersey City,,New Jersey,07307,Handyman,2026-05-20
1. EASY ALL REPAIR,contact@riversidehandy.com,(973) 234-9273,"99 Congress Street - City: Jersey City - State: NJ - ZIP: 07307 **2. FORERUNNER HOME IMPROVEMENT** - Phone: (551) 318-8541 - Email: ForerunnerHI.LLC@gmail.com - Street Address: 17 Charles Street, #1 -",Jersey City,,New Jersey,07307,Handyman,2026-05-20
1. EASY ALL REPAIR,info@avidhandyman.com,(973) 234-9273,"99 Congress Street - City: Jersey City - State: NJ - ZIP: 07307 **2. FORERUNNER HOME IMPROVEMENT** - Phone: (551) 318-8541 - Email: ForerunnerHI.LLC@gmail.com - Street Address: 17 Charles Street, #1 -",Jersey City,,New Jersey,07307,Handyman,2026-05-20
"1. Gurule Construction, LLC",davida.jdr@gmail.com,(505) 359-5813,"** 118 Sunrise Road, Santa Fe, NM 87507 - **Email:** Not publicly listed **2. ProBuilders** - **Phone:** (505) 501-2110 / (505) 310-8505 - **Address:** 3832 Thomas Rd., Santa Fe, NM 87507 - **Email:**",Santa Fe,,New Mexico,87507,General Contractor,2026-05-20
"1. Gurule Construction, LLC",hagenbuilders@aol.com,(505) 359-5813,"** 118 Sunrise Road, Santa Fe, NM 87507 - **Email:** Not publicly listed **2. ProBuilders** - **Phone:** (505) 501-2110 / (505) 310-8505 - **Address:** 3832 Thomas Rd., Santa Fe, NM 87507 - **Email:**",Santa Fe,,New Mexico,87507,General Contractor,2026-05-20
"1. Gurule Construction, LLC",greg.icenogle@dcmnm.com,(505) 359-5813,"** 118 Sunrise Road, Santa Fe, NM 87507 - **Email:** Not publicly listed **2. ProBuilders** - **Phone:** (505) 501-2110 / (505) 310-8505 - **Address:** 3832 Thomas Rd., Santa Fe, NM 87507 - **Email:**",Santa Fe,,New Mexico,87507,General Contractor,2026-05-20
1. Ace Mechanical Services,info@alliedmechanical.us,(716) 833-3500,"2290 Carney Drive, Sanborn, NY 14132 - City: Sanborn - State: NY - ZIP: 14132 **2. Adema Heating & Air Conditioning** - Phone: (716) 834-7611 - Address: 378 Englewood Ave, Buffalo, NY 14223 - City: Bu",Buffalo,,New York,14132,HVAC Contractor,2026-05-20
1. Ace Mechanical Services,ryan.mullen@pcsplumbing.com,(716) 833-3500,"2290 Carney Drive, Sanborn, NY 14132 - City: Sanborn - State: NY - ZIP: 14132 **2. Adema Heating & Air Conditioning** - Phone: (716) 834-7611 - Address: 378 Englewood Ave, Buffalo, NY 14223 - City: Bu",Buffalo,,New York,14132,HVAC Contractor,2026-05-20
1. Ace Mechanical Services,sales@trirmechanical.com,(716) 833-3500,"2290 Carney Drive, Sanborn, NY 14132 - City: Sanborn - State: NY - ZIP: 14132 **2. Adema Heating & Air Conditioning** - Phone: (716) 834-7611 - Address: 378 Englewood Ave, Buffalo, NY 14223 - City: Bu",Buffalo,,New York,14132,HVAC Contractor,2026-05-20
1. Pro Appliance LLC (Appliance Dean),service@proappliance.com,(919) 948-3696,"Raleigh, NC - City: Raleigh - State: North Carolina **2. Fred's Appliance Repair Services** - Phone: +1 (888) 508-5008 - Email: contact@fredsrepair.com - Service Area: Raleigh-Durham-Cary, NC - City: ",Raleigh,,North Carolina,27609,Appliance Technician,2026-05-20
1. Pro Appliance LLC (Appliance Dean),contact@fredsrepair.com,(919) 948-3696,"Raleigh, NC - City: Raleigh - State: North Carolina **2. Fred's Appliance Repair Services** - Phone: +1 (888) 508-5008 - Email: contact@fredsrepair.com - Service Area: Raleigh-Durham-Cary, NC - City: ",Raleigh,,North Carolina,27609,Appliance Technician,2026-05-20
1. Pro Appliance LLC (Appliance Dean),carydiscountappliance@gmail.com,(919) 948-3696,"Raleigh, NC - City: Raleigh - State: North Carolina **2. Fred's Appliance Repair Services** - Phone: +1 (888) 508-5008 - Email: contact@fredsrepair.com - Service Area: Raleigh-Durham-Cary, NC - City: ",Raleigh,,North Carolina,27609,Appliance Technician,2026-05-20
1. Pro Appliance LLC (Appliance Dean),raleighabc@gmail.com,(919) 948-3696,"Raleigh, NC - City: Raleigh - State: North Carolina **2. Fred's Appliance Repair Services** - Phone: +1 (888) 508-5008 - Email: contact@fredsrepair.com - Service Area: Raleigh-Durham-Cary, NC - City: ",Raleigh,,North Carolina,27609,Appliance Technician,2026-05-20
1. Pro Appliance LLC (Appliance Dean),support@appliancerepairservice.org,(919) 948-3696,"Raleigh, NC - City: Raleigh - State: North Carolina **2. Fred's Appliance Repair Services** - Phone: +1 (888) 508-5008 - Email: contact@fredsrepair.com - Service Area: Raleigh-Durham-Cary, NC - City: ",Raleigh,,North Carolina,27609,Appliance Technician,2026-05-20
"1. Northern Plains Plumbing, Heating & Air",jamib@advanced-mechanical.com,(701) 222-2155,"2510 Vermont Ave, Bismarck, ND 58504 - Phone: (701) 222-2155 **2. Premium Plumbing & Rooter** - Phone: (701) 805-9911 - Website: premiumplumbingnd.com **3. Capital Plumbing** - Address: Bismarck, ND 5",Bismarck,,North Dakota,58504,Plumber,2026-05-20
Phone (Cleveland):,service@gorjanc.com,(216) 941-3072,** Serving Cleveland and Northeast Ohio area - **Email:** Not publicly listed --- ### 2. Gorjanc Home Services - **Phone:** (216) 545-1776 - **Email:** service@gorjanc.com - **East Side Location:** 46,Cleveland,,Ohio,44143,Electrician,2026-05-20
Phone (Cleveland):,applications@cejatc.org,(216) 941-3072,** Serving Cleveland and Northeast Ohio area - **Email:** Not publicly listed --- ### 2. Gorjanc Home Services - **Phone:** (216) 545-1776 - **Email:** service@gorjanc.com - **East Side Location:** 46,Cleveland,,Ohio,44143,Electrician,2026-05-20
"Lawn Care Services in Tulsa, Oklahoma",service@mowtownoutdoors.com,918.346.4721,"** 8800 S. Fawnwood Ct. - **City:** Broken Arrow, OK - **State:** Oklahoma - **ZIP:** (serves Tulsa area) --- ## 2. Boomin' Greens - **Phone:** (918) 398-9740 - **Email:** boomingreens@gmail.com - **A",Broken Arrow,,Oklahoma,74132,Lawn Care Services,2026-05-20
"Lawn Care Services in Tulsa, Oklahoma",boomingreens@gmail.com,918.346.4721,"** 8800 S. Fawnwood Ct. - **City:** Broken Arrow, OK - **State:** Oklahoma - **ZIP:** (serves Tulsa area) --- ## 2. Boomin' Greens - **Phone:** (918) 398-9740 - **Email:** boomingreens@gmail.com - **A",Broken Arrow,,Oklahoma,74132,Lawn Care Services,2026-05-20
1. Glenn Landscape Services,evan@livingconceptslandscape.com,541-461-4375,"30228 Beacon Dr W, Junction City, OR 97448 - City: Junction City - State: Oregon - ZIP: 97448 **2. Living Concepts Landscape Services** - Phone: 541-502-3811 - Email: evan@livingconceptslandscape.com ",Junction City,,Oregon,30228,Landscapper,2026-05-21
1. Glenn Landscape Services,info@oregonscapes.com,541-461-4375,"30228 Beacon Dr W, Junction City, OR 97448 - City: Junction City - State: Oregon - ZIP: 97448 **2. Living Concepts Landscape Services** - Phone: 541-502-3811 - Email: evan@livingconceptslandscape.com ",Junction City,,Oregon,30228,Landscapper,2026-05-21
1. Glenn Landscape Services,fourseasonsyard@centurytel.net,541-461-4375,"30228 Beacon Dr W, Junction City, OR 97448 - City: Junction City - State: Oregon - ZIP: 97448 **2. Living Concepts Landscape Services** - Phone: 541-502-3811 - Email: evan@livingconceptslandscape.com ",Junction City,,Oregon,30228,Landscapper,2026-05-21
1. Glenn Landscape Services,admin@graham-landscape.com,541-461-4375,"30228 Beacon Dr W, Junction City, OR 97448 - City: Junction City - State: Oregon - ZIP: 97448 **2. Living Concepts Landscape Services** - Phone: 541-502-3811 - Email: evan@livingconceptslandscape.com ",Junction City,,Oregon,30228,Landscapper,2026-05-21
1. Expert Roofing Company,joe.expertroofing29@gmail.com,(412) 977-8991,"** 3553 Washington Ave, Finleyville, PA 15332 - **City:** Finleyville - **State:** PA - **ZIP:** 15332 --- **2. Ireland Contracting LLC** - **Phone:** (412) 492-7663 - **Email:** info@irelandcontracti",Pittsburgh,,Pennsylvania,15332,Roofer,2026-05-21
1. Expert Roofing Company,info@irelandcontracting.com,(412) 977-8991,"** 3553 Washington Ave, Finleyville, PA 15332 - **City:** Finleyville - **State:** PA - **ZIP:** 15332 --- **2. Ireland Contracting LLC** - **Phone:** (412) 492-7663 - **Email:** info@irelandcontracti",Pittsburgh,,Pennsylvania,15332,Roofer,2026-05-21
1. Expert Roofing Company,rgamm57@gmail.com,(412) 977-8991,"** 3553 Washington Ave, Finleyville, PA 15332 - **City:** Finleyville - **State:** PA - **ZIP:** 15332 --- **2. Ireland Contracting LLC** - **Phone:** (412) 492-7663 - **Email:** info@irelandcontracti",Pittsburgh,,Pennsylvania,15332,Roofer,2026-05-21
1. Expert Roofing Company,dan.mcchesneylueckroofing@gmail.com,(412) 977-8991,"** 3553 Washington Ave, Finleyville, PA 15332 - **City:** Finleyville - **State:** PA - **ZIP:** 15332 --- **2. Ireland Contracting LLC** - **Phone:** (412) 492-7663 - **Email:** info@irelandcontracti",Pittsburgh,,Pennsylvania,15332,Roofer,2026-05-21
1. Expert Roofing Company,roofing@mypittsburghroofing.com,(412) 977-8991,"** 3553 Washington Ave, Finleyville, PA 15332 - **City:** Finleyville - **State:** PA - **ZIP:** 15332 --- **2. Ireland Contracting LLC** - **Phone:** (412) 492-7663 - **Email:** info@irelandcontracti",Pittsburgh,,Pennsylvania,15332,Roofer,2026-05-21
1. Expert Roofing Company,delucaroofing@comcast.net,(412) 977-8991,"** 3553 Washington Ave, Finleyville, PA 15332 - **City:** Finleyville - **State:** PA - **ZIP:** 15332 --- **2. Ireland Contracting LLC** - **Phone:** (412) 492-7663 - **Email:** info@irelandcontracti",Pittsburgh,,Pennsylvania,15332,Roofer,2026-05-21
1. Expert Roofing Company,marketing@raftrxroofing.com,(412) 977-8991,"** 3553 Washington Ave, Finleyville, PA 15332 - **City:** Finleyville - **State:** PA - **ZIP:** 15332 --- **2. Ireland Contracting LLC** - **Phone:** (412) 492-7663 - **Email:** info@irelandcontracti",Pittsburgh,,Pennsylvania,15332,Roofer,2026-05-21
HomePro Inspections of Rhode Island,info@homeproinspection.com,(401) 821-5446,"Warwick, RI",Warwick,,Rhode Island,,Inspection Crew,2026-05-21
"Home Safe Home Inspections, LLC",robert@homesaferi.com,401-384-0832,"PO Box 6225, Warwick, RI 02887",Home Safe Home Inspections,,Rhode Island,02887,Inspection Crew,2026-05-21
"Rhode Island Real Estate Inspection Services, LLC",allen@401inspections.com,(401) 626-0916,,Rhode Island Real Estate Inspection Services,,Rhode Island,,Inspection Crew,2026-05-21
Patriot Property Inspections (Mike Auger),inspectormikeauger@gmail.com,(401) 578-4878,"51 Hollywood Ave, Warwick, RI 02888",Warwick,,Rhode Island,02888,Inspection Crew,2026-05-21
House Doctor Home Inspection,info@housedoctorne.com,(401) 597-0050,"84 White Pkwy, North Smithfield, RI 02896 (serves Warwick)",North Smithfield,,Rhode Island,02896,Inspection Crew,2026-05-21
CMS Home Inspection,info@cmshomeinspection.com,401-830-0966,,Warwick,,Rhode Island,,Inspection Crew,2026-05-21
1. Punch List Pros,columbia@punchlistpros.com,(803) 753-4526,"2432 Leaphart Rd, West Columbia, SC 29169 - City: West Columbia - State: SC - ZIP: 29169 **2. Handyman Husbands LLC** - Phone: (803) 518-8888 or (803) 419-9259 - Street Address: 10149 Two Notch Road -",Columbia,,South Carolina,29169,Handyman,2026-05-21
1. Punch List Pros,gary@anotherhandyman.com,(803) 753-4526,"2432 Leaphart Rd, West Columbia, SC 29169 - City: West Columbia - State: SC - ZIP: 29169 **2. Handyman Husbands LLC** - Phone: (803) 518-8888 or (803) 419-9259 - Street Address: 10149 Two Notch Road -",Columbia,,South Carolina,29169,Handyman,2026-05-21
1. Punch List Pros,info@provisionhomeshandyman.com,(803) 753-4526,"2432 Leaphart Rd, West Columbia, SC 29169 - City: West Columbia - State: SC - ZIP: 29169 **2. Handyman Husbands LLC** - Phone: (803) 518-8888 or (803) 419-9259 - Street Address: 10149 Two Notch Road -",Columbia,,South Carolina,29169,Handyman,2026-05-21
1. Punch List Pros,mr.handy.sc@gmail.com,(803) 753-4526,"2432 Leaphart Rd, West Columbia, SC 29169 - City: West Columbia - State: SC - ZIP: 29169 **2. Handyman Husbands LLC** - Phone: (803) 518-8888 or (803) 419-9259 - Street Address: 10149 Two Notch Road -",Columbia,,South Carolina,29169,Handyman,2026-05-21
1. Punch List Pros,bjimenez.0501@gmail.com,(803) 753-4526,"2432 Leaphart Rd, West Columbia, SC 29169 - City: West Columbia - State: SC - ZIP: 29169 **2. Handyman Husbands LLC** - Phone: (803) 518-8888 or (803) 419-9259 - Street Address: 10149 Two Notch Road -",Columbia,,South Carolina,29169,Handyman,2026-05-21
1. Punch List Pros,hypoboys444@gmail.com,(803) 753-4526,"2432 Leaphart Rd, West Columbia, SC 29169 - City: West Columbia - State: SC - ZIP: 29169 **2. Handyman Husbands LLC** - Phone: (803) 518-8888 or (803) 419-9259 - Street Address: 10149 Two Notch Road -",Columbia,,South Carolina,29169,Handyman,2026-05-21
1. Punch List Pros,bhsllcsc@gmail.com,(803) 753-4526,"2432 Leaphart Rd, West Columbia, SC 29169 - City: West Columbia - State: SC - ZIP: 29169 **2. Handyman Husbands LLC** - Phone: (803) 518-8888 or (803) 419-9259 - Street Address: 10149 Two Notch Road -",Columbia,,South Carolina,29169,Handyman,2026-05-21
"1. Scull Construction Service, Inc.",scull@scullconstruction.com,605-342-2379,"803 Industrial Ave, Rapid City, SD 57702 - Phone: 605-342-2379 - Email: scull@scullconstruction.com **2. Dean Kurtz Construction Company** - Address: 1651 Rand Rd, Rapid City, SD 57702 - Phone: (605) ",Rapid City,,South Dakota,57702,General Contractor,2026-05-21
"1. Scull Construction Service, Inc.",bids@deankurtzconstruction.com,605-342-2379,"803 Industrial Ave, Rapid City, SD 57702 - Phone: 605-342-2379 - Email: scull@scullconstruction.com **2. Dean Kurtz Construction Company** - Address: 1651 Rand Rd, Rapid City, SD 57702 - Phone: (605) ",Rapid City,,South Dakota,57702,General Contractor,2026-05-21
"1. Scull Construction Service, Inc.",info@rcsconst.com,605-342-2379,"803 Industrial Ave, Rapid City, SD 57702 - Phone: 605-342-2379 - Email: scull@scullconstruction.com **2. Dean Kurtz Construction Company** - Address: 1651 Rand Rd, Rapid City, SD 57702 - Phone: (605) ",Rapid City,,South Dakota,57702,General Contractor,2026-05-21
